Case Number,Day of the Week,Time of the Day,Nature of the Call
B16-11530,Sunday,DAY,ATL
B16-11529,Sunday,DAY,ALARM
B16-11528,Sunday,DAY,RECOVERED VT
B16-11527,Sunday,DAY,BURGLARY NP
B16-11526,Sunday,DAY,RUNAWAY
B16-11523,Sunday,DAY,TRAFFIC STOP
B16-11524,Sunday,DAY,DISTURBANCE IP
B16-11525,Sunday,DAY,VANDALISM NP
B16-11522,Sunday,DAY,TRAFFIC STOP
B16-11521,Sunday,DAY,BURGLARY NP
B16-11519,Sunday,DAY,FOLLOW UP
B16-11520,Sunday,DAY,ATL
B16-11518,Sunday,DAY,RECOVERED VT
B16-11517,Sunday,DAY,WELFARE CHK IP
B16-11516,Sunday,DAY,DISTURBANCE IP
B16-11514,Sunday,DAY,ACCIDENT PD IP
B16-11515,Sunday,DAY,ACCIDENT PD NP
B16-11513,Sunday,DAY,TRAFFIC STOP
B16-11512,Sunday,DAY,ALARM
B16-11511,Sunday,DAY,CIVIL NP
B16-11510,Sunday,DAY,CIVIL NP
B16-11509,Sunday,DAY,THEFT NP
B16-11508,Sunday,DAY,TRESPASS NP
B16-11507,Sunday,DAY,DISTURBANCE IP
B16-11506,Sunday,DAY,WEAPONS IP
B16-11504,Sunday,DAY,SERVICE IP
B16-11505,Sunday,DAY,DRUNK
B16-11503,Sunday,DAY,SERVICE IP
B16-11502,Sunday,DAY,ALARM
B16-11501,Sunday,MORNING,ALARM
B16-11500,Sunday,MORNING,WELFARE CHK IP
B16-11499,Sunday,MORNING,FOLLOW UP
B16-11498,Sunday,MORNING,WELFARE CHK IP
B16-11497,Sunday,MORNING,SERVICE IP
B16-11496,Sunday,MORNING,DOMESTIC IP
B16-11495,Sunday,MORNING,ACCIDENT PD IP
B16-11494,Sunday,MORNING,CIVIL IP
B16-11493,Sunday,MORNING,THEFT IP
B16-11492,Sunday,MORNING,TRAFFIC STOP
B16-11491,Sunday,MORNING,BURGLARY IP
B16-11490,Sunday,MORNING,SERVICE IP
B16-11489,Sunday,MORNING,ACCIDENT LSA NP
B16-11488,Sunday,MORNING,TRAFFIC STOP
B16-11487,Sunday,MORNING,TRAFFIC HAZARD
B16-11486,Sunday,NIGHT,DISTURBANCE IP
B16-11485,Sunday,NIGHT,WELFARE CHK IP
B16-11484,Sunday,NIGHT,TRAFFIC HAZARD
B16-11483,Sunday,NIGHT,DRUNK
B16-11481,Sunday,NIGHT,SERVICE IP
B16-11480,Sunday,NIGHT,ASSAULT IP
B16-11482,Sunday,NIGHT,ACCIDENT PI
B16-11479,Sunday,NIGHT,SUSP ACT IP
B16-11478,Sunday,NIGHT,FOLLOW UP
B16-11476,Sunday,NIGHT,SERVICE IP
B16-11477,Sunday,NIGHT,MOTORIST ASSIST
B16-11475,Sunday,NIGHT,FOLLOW UP
B16-11473,Sunday,NIGHT,FOLLOW UP
B16-11474,Sunday,NIGHT,VANDALISM IP
B16-11472,Sunday,NIGHT,WELFARE CHK IP
B16-11471,Sunday,NIGHT,TRAFFIC STOP
B16-11470,Sunday,NIGHT,ATL
B16-11468,Sunday,NIGHT,TRAFFIC STOP
B16-11469,Sunday,NIGHT,SERVICE IP
B16-11467,Sunday,NIGHT,SUSP ACT IP
B16-11466,Sunday,NIGHT,TRAFFIC STOP
B16-11465,Sunday,NIGHT,DRUNK
B16-11464,Sunday,NIGHT,DRUGS IP
B16-11463,Saturday,NIGHT,SUSP ACT IP
B16-11462,Saturday,NIGHT,TRAFFIC STOP
B16-11460,Saturday,NIGHT,TRAFFIC STOP
B16-11459,Saturday,NIGHT,FOLLOW UP
B16-11458,Saturday,NIGHT,TRAFFIC STOP
B16-11456,Saturday,NIGHT,TRAFFIC STOP
B16-11455,Saturday,NIGHT,THEFT NP
B16-11461,Saturday,NIGHT,SUSP ACT IP
B16-11454,Saturday,NIGHT,SUSP ACT IP
B16-11453,Saturday,NIGHT,TRAFFIC STOP
B16-11457,Saturday,NIGHT,MOTORIST ASSIST
B16-11451,Saturday,NIGHT,DRUNK
B16-11452,Saturday,NIGHT,FOLLOW UP
B16-11449,Saturday,NIGHT,TRAFFIC STOP
B16-11450,Saturday,NIGHT,SUSP ACT IP
B16-11448,Saturday,NIGHT,VANDALISM NP
B16-11447,Saturday,NIGHT,ACCIDENT LSA NP
B16-11446,Saturday,NIGHT,ATL
B16-11445,Saturday,NIGHT,SERVICE IP
B16-11444,Saturday,NIGHT,VEH THEFT NP
B16-11443,Saturday,NIGHT,ATL
B16-11442,Saturday,NIGHT,ABANDONED VEH
B16-11441,Saturday,NIGHT,ACCIDENT PD IP
B16-11438,Saturday,NIGHT,DRUNK
B16-11436,Saturday,NIGHT,TRAFFIC STOP
B16-11437,Saturday,NIGHT,CIVIL IP
B16-11440,Saturday,NIGHT,NOISE
B16-11435,Saturday,NIGHT,AMBULANCE DUAL
B16-11439,Saturday,NIGHT,NOISE
B16-11433,Saturday,NIGHT,ATL
B16-11432,Saturday,NIGHT,DRUNK
B16-11431,Saturday,NIGHT,ASSAULT IP
B16-11430,Saturday,NIGHT,WELFARE CHK IP
B16-11434,Saturday,NIGHT,NOISE
B16-11429,Saturday,NIGHT,WELFARE CHK IP
B16-11428,Saturday,NIGHT,WELFARE CHK IP
B16-11427,Saturday,NIGHT,TRAFFIC HAZARD
B16-11426,Saturday,NIGHT,MOTORIST ASSIST
B16-11425,Saturday,NIGHT,TRAFFIC STOP
B16-11424,Saturday,DAY,WELFARE CHK IP
B16-11423,Saturday,DAY,DISTURBANCE IP
B16-11422,Saturday,DAY,ATL
B16-11421,Saturday,DAY,ALARM
B16-11420,Saturday,DAY,SERVICE IP
B16-11419,Saturday,DAY,SUSP ACT IP
B16-11418,Saturday,DAY,WELFARE CHK IP
B16-11416,Saturday,DAY,THEFT IP
B16-11417,Saturday,DAY,RECOVERED VT
B16-11415,Saturday,DAY,ACCIDENT PD NP
B16-11414,Saturday,DAY,ACCIDENT PD IP
B16-11413,Saturday,DAY,ATL
B16-11412,Saturday,DAY,HARASSMENT NP
B16-11411,Saturday,DAY,ATL
B16-11410,Saturday,DAY,ATL
B16-11408,Saturday,DAY,ACCIDENT PD IP
B16-11409,Saturday,DAY,FRAUD
B16-11407,Saturday,DAY,SERVICE IP
B16-11406,Saturday,DAY,ROV IP
B16-11405,Saturday,DAY,SERVICE IP
B16-11404,Saturday,DAY,HARASSMENT NP
B16-11403,Saturday,DAY,HARASSMENT NP
B16-11402,Saturday,DAY,HARASSMENT NP
B16-11401,Saturday,DAY,SUSP ACT IP
B16-11400,Saturday,DAY,ACCIDENT PD IP
B16-11399,Saturday,DAY,THEFT NP
B16-11398,Saturday,DAY,OTHER
B16-11396,Saturday,DAY,WELFARE CHK IP
B16-11395,Saturday,DAY,PROPERTY
B16-11393,Saturday,DAY,FOLLOW UP
B16-11392,Saturday,DAY,DISTURBANCE IP
B16-11391,Saturday,DAY,ATL
B16-11390,Saturday,DAY,TRAFFIC HAZARD
B16-11387,Saturday,DAY,ALARM
B16-11394,Saturday,DAY,SERVICE NP
B16-11389,Saturday,DAY,NOISE
B16-11385,Saturday,DAY,SUSP ACT IP
B16-11397,Saturday,DAY,EXTRA PATROL
B16-11383,Saturday,DAY,ASSIGNED DETAIL
B16-11386,Saturday,DAY,PANHANDLING
B16-11388,Saturday,DAY,NOISE
B16-11382,Saturday,DAY,SERVICE IP
B16-11378,Saturday,DAY,EXTRA PATROL
B16-11379,Saturday,DAY,TRESPASS IP
B16-11374,Saturday,DAY,DISTURBANCE IP
B16-11381,Saturday,DAY,ANIMAL
B16-11375,Saturday,DAY,ACCIDENT PD IP
B16-11372,Saturday,DAY,NOISE
B16-11373,Saturday,DAY,CIVIL NP
B16-11380,Saturday,DAY,ACCIDENT PD IP
B16-11376,Saturday,DAY,ACCIDENT LSA IP
B16-11370,Saturday,DAY,SUSP ACT IP
B16-11369,Saturday,DAY,TRAFFIC STOP
B16-11366,Saturday,DAY,DRUGS IP
B16-11365,Saturday,DAY,DISTURBANCE IP
B16-11364,Saturday,DAY,WELFARE CHK NP
B16-11368,Saturday,DAY,ABUSE NP
B16-11363,Saturday,DAY,DISTURBANCE IP
B16-11371,Saturday,DAY,THEFT NP
B16-11367,Saturday,MORNING,FRAUD
B16-11361,Saturday,MORNING,SUSP ACT IP
B16-11360,Saturday,MORNING,SUSP ACT NP
B16-11358,Saturday,MORNING,SERVICE IP
B16-11359,Saturday,MORNING,THEFT NP
B16-11384,Saturday,MORNING,FRAUD
B16-11356,Saturday,MORNING,ALARM
B16-11355,Saturday,MORNING,BURGLARY NP
B16-11354,Saturday,MORNING,ACCIDENT PD IP
B16-11353,Saturday,MORNING,TRAFFIC HAZARD
B16-11357,Saturday,MORNING,PROPERTY
B16-11352,Saturday,MORNING,DISTURBANCE IP
B16-11362,Saturday,MORNING,NOISE
B16-11351,Saturday,MORNING,ASSAULT NP
B16-11349,Saturday,MORNING,ALARM
B16-11348,Saturday,MORNING,TRESPASS IP
B16-11350,Saturday,MORNING,NOISE
B16-11347,Saturday,MORNING,ALARM
B16-11346,Saturday,MORNING,ALARM
B16-11345,Saturday,MORNING,NOISE
B16-11343,Saturday,MORNING,TRAFFIC STOP
B16-11344,Saturday,MORNING,SERVICE NP
B16-11342,Saturday,MORNING,NOISE
B16-11341,Saturday,MORNING,TRAFFIC STOP
B16-11339,Saturday,MORNING,FOLLOW UP
B16-11338,Saturday,MORNING,SERVICE NP
B16-11340,Saturday,MORNING,NOISE
B16-11337,Saturday,MORNING,TRESPASS IP
B16-11336,Saturday,MORNING,NOISE
B16-11334,Saturday,MORNING,ASSIGNED DETAIL
B16-11335,Saturday,MORNING,FOLLOW UP
B16-11333,Saturday,MORNING,ALARM
B16-11331,Saturday,MORNING,TRAFFIC STOP
B16-11332,Saturday,MORNING,NOISE
B16-11330,Saturday,NIGHT,FOLLOW UP
B16-11329,Saturday,NIGHT,WELFARE CHK IP
B16-11327,Saturday,NIGHT,SUSP ACT IP
B16-11328,Saturday,NIGHT,MISSING PERSON
B16-11326,Saturday,NIGHT,VANDALISM IP
B16-11324,Saturday,NIGHT,DISTURBANCE IP
B16-11325,Saturday,NIGHT,THEFT NP
B16-11322,Saturday,NIGHT,ATL
B16-11321,Saturday,NIGHT,SUSP ACT NP
B16-11320,Saturday,NIGHT,ACCIDENT PI
B16-11323,Saturday,NIGHT,NOISE
B16-11319,Saturday,NIGHT,PANHANDLING
B16-11318,Saturday,NIGHT,THEFT NP
B16-11317,Saturday,NIGHT,PANHANDLING
B16-11313,Saturday,NIGHT,TRAFFIC STOP
B16-11315,Saturday,NIGHT,DISTURBANCE IP
B16-11314,Saturday,NIGHT,ACCIDENT PD IP
B16-11312,Saturday,NIGHT,DISTURBANCE IP
B16-11311,Saturday,NIGHT,TRESPASS IP
B16-11310,Saturday,NIGHT,DISTURBANCE IP
B16-11309,Saturday,NIGHT,WEAPONS IP
B16-11308,Saturday,NIGHT,WEAPONS IP
B16-11307,Saturday,NIGHT,WELFARE CHK IP
B16-11306,Saturday,NIGHT,DISTURBANCE IP
B16-11305,Saturday,NIGHT,DRUNK
B16-11303,Saturday,NIGHT,TRAFFIC HAZARD
B16-11316,Saturday,NIGHT,NOISE
B16-11302,Saturday,NIGHT,ANIMAL
B16-11301,Friday,NIGHT,TRAFFIC STOP
B16-11304,Friday,NIGHT,NOISE
B16-11300,Friday,NIGHT,TRAFFIC STOP
B16-11298,Friday,NIGHT,TRAFFIC STOP
B16-11297,Friday,NIGHT,TRAFFIC STOP
B16-11299,Friday,NIGHT,NOISE
B16-11296,Friday,NIGHT,DOMESTIC IP
B16-11295,Friday,NIGHT,JUVENILE
B16-11293,Friday,NIGHT,NOISE
B16-11294,Friday,NIGHT,NOISE
B16-11290,Friday,NIGHT,ALARM
B16-11292,Friday,NIGHT,NOISE
B16-11288,Friday,NIGHT,WELFARE CHK IP
B16-11287,Friday,NIGHT,TRAFFIC STOP
B16-11286,Friday,NIGHT,DRUGS IP
B16-11285,Friday,NIGHT,DISTURBANCE IP
B16-11289,Friday,NIGHT,NOISE
B16-11283,Friday,NIGHT,DRUNK
B16-11281,Friday,NIGHT,HARASSMENT IP
B16-11291,Friday,NIGHT,EXTRA PATROL
B16-11278,Friday,NIGHT,MOTORIST ASSIST
B16-11282,Friday,NIGHT,SUSP ACT IP
B16-11280,Friday,NIGHT,WELFARE CHK IP
B16-11279,Friday,NIGHT,SUSP ACT IP
B16-11284,Friday,NIGHT,VEH THEFT NP
B16-11276,Friday,NIGHT,ACCIDENT PD NP
B16-11275,Friday,NIGHT,TRAFFIC HAZARD
B16-11273,Friday,NIGHT,ALARM
B16-11277,Friday,NIGHT,NOISE
B16-11274,Friday,NIGHT,THEFT NP
B16-11272,Friday,NIGHT,ASSAULT IP
B16-11269,Friday,NIGHT,ALARM
B16-11270,Friday,NIGHT,NOISE
B16-11268,Friday,NIGHT,ALARM
B16-11267,Friday,NIGHT,DISTURBANCE IP
B16-11266,Friday,DAY,FIGHT IP
B16-11265,Friday,DAY,MOTORIST ASSIST
B16-11264,Friday,DAY,ACCIDENT PD IP
B16-11262,Friday,DAY,WELFARE CHK IP
B16-11263,Friday,DAY,WARRANT SERVICE
B16-11261,Friday,DAY,VEH THEFT IP
B16-11260,Friday,DAY,DRUNK
B16-11259,Friday,DAY,THEFT IP
B16-11271,Friday,DAY,FOLLOW UP
B16-11258,Friday,DAY,WELFARE CHK IP
B16-11257,Friday,DAY,TRAFFIC STOP
B16-11255,Friday,DAY,FOLLOW UP
B16-11256,Friday,DAY,MISSING PERSON
B16-11254,Friday,DAY,MOTORIST ASSIST
B16-11253,Friday,DAY,SUSP ACT IP
B16-11252,Friday,DAY,ACCIDENT PD IP
B16-11251,Friday,DAY,ATL
B16-11250,Friday,DAY,SUSP ACT IP
B16-11249,Friday,DAY,WELFARE CHK IP
B16-11247,Friday,DAY,ATL
B16-11246,Friday,DAY,DISTURBANCE IP
B16-11245,Friday,DAY,MOTORIST ASSIST
B16-11248,Friday,DAY,FOLLOW UP
B16-11242,Friday,DAY,MOTORIST ASSIST
B16-11241,Friday,DAY,ABUSE IP
B16-11244,Friday,DAY,ACCIDENT PD IP
B16-11240,Friday,DAY,JUVENILE
B16-11239,Friday,DAY,PANHANDLING
B16-11243,Friday,DAY,HARASSMENT NP
B16-11237,Friday,DAY,DOMESTIC IP
B16-11238,Friday,DAY,ACCIDENT PD IP
B16-11235,Friday,DAY,MOTORIST ASSIST
B16-11236,Friday,DAY,SUSP ACT NP
B16-11234,Friday,DAY,PROPERTY
B16-11233,Friday,DAY,TRAFFIC STOP
B16-11232,Friday,DAY,ACCIDENT PD IP
B16-11231,Friday,DAY,MOTORIST ASSIST
B16-11230,Friday,DAY,ANIMAL
B16-11229,Friday,DAY,TRAFFIC STOP
B16-11227,Friday,DAY,EXTRA PATROL
B16-11228,Friday,DAY,EXTRA PATROL
B16-11226,Friday,DAY,SUSP ACT IP
B16-11225,Friday,DAY,FOLLOW UP
B16-11224,Friday,DAY,BURGLARY NP
B16-11223,Friday,MORNING,CIVIL NP
B16-11222,Friday,MORNING,ACCIDENT PD IP
B16-11221,Friday,MORNING,EXTRA PATROL
B16-11220,Friday,MORNING,FOLLOW UP
B16-11218,Friday,MORNING,SERVICE IP
B16-11217,Friday,MORNING,ACCIDENT PD IP
B16-11219,Friday,MORNING,THEFT NP
B16-11216,Friday,MORNING,BURGLARY NP
B16-11215,Friday,MORNING,DRUGS IP
B16-11214,Friday,MORNING,MENTAL HEALTH
B16-11213,Friday,MORNING,THEFT NP
B16-11212,Friday,MORNING,ALARM
B16-11211,Friday,MORNING,SERIAL MOTOR CH
B16-11210,Friday,MORNING,ASSAULT NP
B16-11209,Friday,MORNING,ATL
B16-11208,Friday,MORNING,DISTURBANCE NP
B16-11207,Friday,MORNING,WELFARE CHK IP
B16-11205,Friday,MORNING,ABANDONED VEH
B16-11206,Friday,MORNING,SERVICE NP
B16-11204,Friday,MORNING,PROPERTY
B16-11203,Friday,MORNING,PROPERTY
B16-11201,Friday,MORNING,FOLLOW UP
B16-11202,Friday,MORNING,TRAFFIC HAZARD
B16-11200,Friday,MORNING,TRAFFIC STOP
B16-11199,Friday,MORNING,BURGLARY NP
B16-11198,Friday,MORNING,DISTURBANCE IP
B16-11197,Friday,MORNING,ACCIDENT PD IP
B16-11196,Friday,NIGHT,ASSIGNED DETAIL
B16-11195,Friday,NIGHT,NOISE
B16-11194,Friday,NIGHT,NOISE
B16-11193,Friday,NIGHT,DRUNK
B16-11192,Friday,NIGHT,NOISE
B16-11191,Friday,NIGHT,FIGHT IP
B16-11190,Friday,NIGHT,FIGHT IP
B16-11187,Friday,NIGHT,SERVICE IP
B16-11189,Friday,NIGHT,NOISE
B16-11188,Friday,NIGHT,BLDG CHECK
B16-11186,Friday,NIGHT,SERVICE IP
B16-11185,Friday,NIGHT,WELFARE CHK IP
B16-11184,Friday,NIGHT,HARASSMENT NP
B16-11183,Friday,NIGHT,TRAFFIC STOP
B16-11182,Friday,NIGHT,NOISE
B16-11181,Friday,NIGHT,TRAFFIC STOP
B16-11180,Friday,NIGHT,WELFARE CHK IP
B16-11179,Friday,NIGHT,TRAFFIC STOP
B16-11178,Thursday,NIGHT,WELFARE CHK IP
B16-11177,Thursday,NIGHT,TRAFFIC STOP
B16-11176,Thursday,NIGHT,DRUNK
B16-11175,Thursday,NIGHT,TRAFFIC STOP
B16-11174,Thursday,NIGHT,TRAFFIC STOP
B16-11170,Thursday,NIGHT,ALARM
B16-11171,Thursday,NIGHT,ACCIDENT PD IP
B16-11172,Thursday,NIGHT,ACCIDENT PI
B16-11168,Thursday,NIGHT,TRAFFIC STOP
B16-11167,Thursday,NIGHT,ALARM
B16-11169,Thursday,NIGHT,SUSP ACT IP
B16-11166,Thursday,NIGHT,WELFARE CHK IP
B16-11165,Thursday,NIGHT,TRAFFIC STOP
B16-11164,Thursday,NIGHT,TRAFFIC STOP
B16-11173,Thursday,NIGHT,NOISE
B16-11162,Thursday,NIGHT,TRAFFIC STOP
B16-11161,Thursday,NIGHT,TRAFFIC STOP
B16-11163,Thursday,NIGHT,FIREWORKS
B16-11160,Thursday,NIGHT,TRAFFIC STOP
B16-11159,Thursday,NIGHT,ALARM
B16-11158,Thursday,NIGHT,DOMESTIC IP
B16-11157,Thursday,NIGHT,TRAFFIC STOP
B16-11156,Thursday,NIGHT,TRAFFIC STOP
B16-11155,Thursday,NIGHT,DRUGS NP
B16-11154,Thursday,NIGHT,TRAFFIC STOP
B16-11152,Thursday,NIGHT,ACCIDENT PD IP
B16-11151,Thursday,NIGHT,PANHANDLING
B16-11150,Thursday,NIGHT,TRAFFIC STOP
B16-11149,Thursday,NIGHT,THEFT NP
B16-11148,Thursday,NIGHT,PANHANDLING
B16-11147,Thursday,NIGHT,EXTRA PATROL
B16-11146,Thursday,NIGHT,MOTORIST ASSIST
B16-11145,Thursday,NIGHT,TRAFFIC STOP
B16-11144,Thursday,NIGHT,TRAFFIC STOP
B16-11143,Thursday,NIGHT,TRAFFIC STOP
B16-11142,Thursday,NIGHT,ACCIDENT PD IP
B16-11141,Thursday,NIGHT,ATL
B16-11139,Thursday,NIGHT,TRAFFIC STOP
B16-11140,Thursday,NIGHT,SUSP ACT IP
B16-11138,Thursday,NIGHT,TRAFFIC STOP
B16-11137,Thursday,DAY,THEFT NP
B16-11136,Thursday,DAY,TRAFFIC STOP
B16-11135,Thursday,DAY,FOLLOW UP
B16-11134,Thursday,DAY,TRAFFIC STOP
B16-11133,Thursday,DAY,TRAFFIC STOP
B16-11132,Thursday,DAY,TRAFFIC STOP
B16-11131,Thursday,DAY,TRAFFIC STOP
B16-11129,Thursday,DAY,TRAFFIC STOP
B16-11130,Thursday,DAY,ATL
B16-11128,Thursday,DAY,ATL
B16-11126,Thursday,DAY,TRAFFIC STOP
B16-11127,Thursday,DAY,DOMESTIC IP
B16-11125,Thursday,DAY,TRAFFIC STOP
B16-11123,Thursday,DAY,THEFT NP
B16-11124,Thursday,DAY,THEFT NP
B16-11119,Thursday,DAY,TRAFFIC STOP
B16-11121,Thursday,DAY,DOMESTIC IP
B16-11116,Thursday,DAY,TRAFFIC STOP
B16-11120,Thursday,DAY,SUSP ACT IP
B16-11117,Thursday,DAY,SERVICE IP
B16-11115,Thursday,DAY,ROV IP
B16-11114,Thursday,DAY,TRAFFIC STOP
B16-11122,Thursday,DAY,ACCIDENT LSA NP
B16-11118,Thursday,DAY,DISTURBANCE NP
B16-11112,Thursday,DAY,TRAFFIC STOP
B16-11110,Thursday,DAY,DRUNK
B16-11113,Thursday,DAY,ATL
B16-11111,Thursday,DAY,DRUGS IP
B16-11108,Thursday,DAY,TRAFFIC STOP
B16-11109,Thursday,DAY,DRUGS IP
B16-11106,Thursday,DAY,MOTORIST ASSIST
B16-11105,Thursday,DAY,SUSP ACT IP
B16-11104,Thursday,DAY,ATL
B16-11102,Thursday,DAY,EXTRA PATROL
B16-11107,Thursday,DAY,ASSAULT NP
B16-11100,Thursday,DAY,TRAFFIC STOP
B16-11103,Thursday,DAY,ACCIDENT PD IP
B16-11099,Thursday,DAY,WARRANT SERVICE
B16-11101,Thursday,DAY,DOMESTIC IP
B16-11098,Thursday,DAY,FOLLOW UP
B16-11097,Thursday,DAY,DISTURBANCE IP
B16-11096,Thursday,DAY,DRUNK
B16-11095,Thursday,DAY,ATL
B16-11094,Thursday,DAY,ACCIDENT PD IP
B16-11092,Thursday,DAY,THEFT IP
B16-11093,Thursday,DAY,SUSP ACT IP
B16-11091,Thursday,DAY,SUSP ACT IP
B16-11089,Thursday,DAY,SERVICE IP
B16-11090,Thursday,DAY,SERVICE IP
B16-11088,Thursday,DAY,ACCIDENT PD IP
B16-11087,Thursday,DAY,TRAFFIC STOP
B16-11086,Thursday,DAY,ACCIDENT PD IP
B16-11085,Thursday,DAY,TRAFFIC STOP
B16-11084,Thursday,DAY,TRAFFIC STOP
B16-11083,Thursday,DAY,SUSP ACT IP
B16-11082,Thursday,DAY,SERVICE IP
B16-11081,Thursday,DAY,SERVICE IP
B16-11080,Thursday,DAY,ACCIDENT PD IP
B16-11079,Thursday,DAY,ASSIGNED DETAIL
B16-11078,Thursday,DAY,ACCIDENT PD IP
B16-11077,Thursday,DAY,MISSING PERSON
B16-11074,Thursday,DAY,TRAFFIC STOP
B16-11075,Thursday,DAY,WELFARE CHK IP
B16-11076,Thursday,DAY,ACCIDENT PD IP
B16-11073,Thursday,DAY,ACCIDENT PD IP
B16-11072,Thursday,DAY,NOISE
B16-11071,Thursday,DAY,ACCIDENT PD IP
B16-11070,Thursday,DAY,TRAFFIC STOP
B16-11068,Thursday,MORNING,ACCIDENT PD IP
B16-11069,Thursday,MORNING,VANDALISM NP
B16-11067,Thursday,MORNING,WARRANT SERVICE
B16-11066,Thursday,MORNING,ACCIDENT PD IP
B16-11065,Thursday,MORNING,ACCIDENT PD IP
B16-11064,Thursday,MORNING,MISSING PERSON
B16-11062,Thursday,MORNING,FOLLOW UP
B16-11063,Thursday,MORNING,ATL
B16-11061,Thursday,MORNING,ACCIDENT PD IP
B16-11060,Thursday,MORNING,THEFT NP
B16-11058,Thursday,MORNING,ATL
B16-11059,Thursday,MORNING,PROPERTY
B16-11057,Thursday,MORNING,THEFT NP
B16-11056,Thursday,MORNING,PARKING
B16-11055,Thursday,MORNING,TRAFFIC STOP
B16-11054,Thursday,MORNING,PANHANDLING
B16-11053,Thursday,MORNING,TRAFFIC STOP
B16-11052,Thursday,MORNING,TRAFFIC STOP
B16-11051,Thursday,MORNING,TRAFFIC STOP
B16-11050,Thursday,MORNING,ATL
B16-11049,Thursday,MORNING,PARKING
B16-11047,Thursday,MORNING,ACCIDENT PD IP
B16-11048,Thursday,MORNING,BURGLARY NP
B16-11046,Thursday,MORNING,SUSP ACT IP
B16-11045,Thursday,MORNING,EXTRA PATROL
B16-11044,Thursday,MORNING,SUSP ACT IP
B16-11043,Thursday,MORNING,DRUGS NP
B16-11042,Thursday,NIGHT,WELFARE CHK IP
B16-11041,Thursday,NIGHT,ASSIGNED DETAIL
B16-11040,Thursday,NIGHT,THEFT IP
B16-11039,Thursday,NIGHT,TRESPASS IP
B16-11038,Thursday,NIGHT,WARRANT SERVICE
B16-11037,Thursday,NIGHT,TRAFFIC STOP
B16-11036,Thursday,NIGHT,WELFARE CHK IP
B16-11034,Thursday,NIGHT,DRUNK
B16-11035,Thursday,NIGHT,ALARM
B16-11033,Thursday,NIGHT,TRAFFIC STOP
B16-11031,Thursday,NIGHT,SUSP ACT IP
B16-11032,Thursday,NIGHT,DISTURBANCE IP
B16-11030,Thursday,NIGHT,DISTURBANCE IP
B16-11029,Thursday,NIGHT,ALARM
B16-11028,Wednesday,NIGHT,SUSP ACT IP
B16-11025,Wednesday,NIGHT,DOMESTIC IP
B16-11023,Wednesday,NIGHT,WELFARE CHK IP
B16-11026,Wednesday,NIGHT,MISSING PERSON
B16-11024,Wednesday,NIGHT,EXTRA PATROL
B16-11022,Wednesday,NIGHT,DISTURBANCE IP
B16-11027,Wednesday,NIGHT,PROPERTY
B16-11020,Wednesday,NIGHT,TRAFFIC STOP
B16-11021,Wednesday,NIGHT,MENTAL HEALTH
B16-11019,Wednesday,NIGHT,WARRANT SERVICE
B16-11018,Wednesday,NIGHT,TRAFFIC STOP
B16-11016,Wednesday,NIGHT,DISTURBANCE IP
B16-11017,Wednesday,NIGHT,ANIMAL
B16-11015,Wednesday,NIGHT,TRAFFIC STOP
B16-11014,Wednesday,NIGHT,TRAFFIC STOP
B16-11013,Wednesday,NIGHT,DOMESTIC IP
B16-11011,Wednesday,NIGHT,DISTURBANCE IP
B16-11010,Wednesday,NIGHT,ASSIGNED DETAIL
B16-11012,Wednesday,NIGHT,WEAPONS IP
B16-11009,Wednesday,NIGHT,ASSAULT IP
B16-11008,Wednesday,NIGHT,ALARM
B16-11007,Wednesday,NIGHT,THEFT IP
B16-11002,Wednesday,NIGHT,ACCIDENT PD IP
B16-11005,Wednesday,NIGHT,VANDALISM IP
B16-11000,Wednesday,NIGHT,TRAFFIC STOP
B16-11006,Wednesday,NIGHT,ATL
B16-11001,Wednesday,NIGHT,MOTORIST ASSIST
B16-10999,Wednesday,NIGHT,ATL
B16-10998,Wednesday,NIGHT,WELFARE CHK IP
B16-10997,Wednesday,DAY,CIVIL NP
B16-10994,Wednesday,DAY,FOLLOW UP
B16-10996,Wednesday,DAY,NOISE
B16-10995,Wednesday,DAY,NOISE
B16-10993,Wednesday,DAY,HARASSMENT IP
B16-10992,Wednesday,DAY,SUSP ACT IP
B16-10990,Wednesday,DAY,ASSIGNED DETAIL
B16-10989,Wednesday,DAY,FOLLOW UP
B16-10991,Wednesday,DAY,BURGLARY NP
B16-10987,Wednesday,DAY,ACCIDENT PD IP
B16-10986,Wednesday,DAY,FOLLOW UP
B16-10985,Wednesday,DAY,VANDALISM NP
B16-10984,Wednesday,DAY,ACCIDENT PD IP
B16-10983,Wednesday,DAY,CIVIL IP
B16-10981,Wednesday,DAY,ATL
B16-10979,Wednesday,DAY,THEFT NP
B16-10978,Wednesday,DAY,DRUGS IP
B16-10982,Wednesday,DAY,ACCIDENT LSA NP
B16-10977,Wednesday,DAY,ALARM
B16-10975,Wednesday,DAY,WELFARE CHK IP
B16-10976,Wednesday,DAY,THEFT NP
B16-10980,Wednesday,DAY,FOLLOW UP
B16-10972,Wednesday,DAY,FIGHT IP
B16-10973,Wednesday,DAY,EXTRA PATROL
B16-10974,Wednesday,DAY,CIVIL NP
B16-10988,Wednesday,DAY,WARRANT SERVICE
B16-10971,Wednesday,DAY,SERVICE IP
B16-10969,Wednesday,DAY,FOLLOW UP
B16-10970,Wednesday,DAY,ABUSE NP
B16-10968,Wednesday,DAY,ABUSE NP
