Case Number,Date Reported,Time Reported,Month Reported,Day of Week Reported,Nature of Call for Service,District,Agency,Report/No Report
B16-11783,3/29/16,5:01 PM,March,Tuesday,ACCIDENT PD IP,LB511,BPD,Report
B16-11782,3/29/16,4:54 PM,March,Tuesday,ACCIDENT PD IP,LB432,BPD,Report
B16-11781,3/29/16,4:50 PM,March,Tuesday,ACCIDENT PD IP,LB302,BPD,Report
B16-11780,3/29/16,4:48 PM,March,Tuesday,DRUNK,LB221,BPD,No report
B16-11778,3/29/16,4:37 PM,March,Tuesday,PROPERTY,LB412,BPD,No report
B16-11779,3/29/16,4:32 PM,March,Tuesday,ATL,LMN02,BPD,No report
B16-11776,3/29/16,4:14 PM,March,Tuesday,WARRANT SERVICE,LB521,BPD,Report
B16-11777,3/29/16,4:08 PM,March,Tuesday,FOLLOW UP,LB510,BPD,No report
B16-11775,3/29/16,4:06 PM,March,Tuesday,TRAFFIC STOP,LIU14,BPD,No report
B16-11773,3/29/16,3:45 PM,March,Tuesday,DISTURBANCE IP,LB103,BPD,No report
B16-11774,3/29/16,3:37 PM,March,Tuesday,DRUGS NP,LB222,BPD,No report
B16-11770,3/29/16,3:29 PM,March,Tuesday,MENTAL HEALTH,LB104,BPD,No report
B16-11771,3/29/16,3:29 PM,March,Tuesday,WELFARE CHK IP,LB102,BPD,No report
B16-11769,3/29/16,3:28 PM,March,Tuesday,ACCIDENT PD IP,LB421,BPD,No report
B16-11772,3/29/16,3:28 PM,March,Tuesday,PARKING,LB104,BPD,No report
B16-11768,3/29/16,3:25 PM,March,Tuesday,THEFT NP,LB333,BPD,No report
B16-11767,3/29/16,3:22 PM,March,Tuesday,ACCIDENT PD IP,LB222,BPD,Report
B16-11766,3/29/16,3:15 PM,March,Tuesday,TRAFFIC STOP,LB104,BPD,No report
B16-11765,3/29/16,3:05 PM,March,Tuesday,DRUNK,LB406,BPD,Report
B16-11764,3/29/16,2:43 PM,March,Tuesday,VEH THEFT NP,LB403,BPD,No report
B16-11762,3/29/16,2:34 PM,March,Tuesday,ALARM,LB307,BPD,No report
B16-11763,3/29/16,2:32 PM,March,Tuesday,VEH THEFT NP,LB517,BPD,Report
B16-11761,3/29/16,2:31 PM,March,Tuesday,DOMESTIC IP,LB104,BPD,No report
B16-11760,3/29/16,2:28 PM,March,Tuesday,FOLLOW UP,LB220,BPD,No report
B16-11759,3/29/16,2:21 PM,March,Tuesday,SUSP ACT IP,LB406,BPD,No report
B16-11757,3/29/16,2:15 PM,March,Tuesday,TRAFFIC STOP,LB301,BPD,No report
B16-11756,3/29/16,2:08 PM,March,Tuesday,ACCIDENT PD IP,LB302,BPD,No report
B16-11755,3/29/16,1:55 PM,March,Tuesday,TRESPASS IP,LB403,BPD,No report
B16-11758,3/29/16,1:39 PM,March,Tuesday,HARASSMENT NP,LB311,BPD,Report
B16-11753,3/29/16,1:26 PM,March,Tuesday,DISTURBANCE IP,LB104,BPD,No report
B16-11752,3/29/16,1:26 PM,March,Tuesday,SUSP ACT IP,LB104,BPD,No report
B16-11754,3/29/16,1:20 PM,March,Tuesday,SERVICE IP,LB220,BPD,No report
B16-11751,3/29/16,1:14 PM,March,Tuesday,SUSP ACT IP,LB325,BPD,No report
B16-11750,3/29/16,1:12 PM,March,Tuesday,ANIMAL,LB422,BPD,No report
B16-11749,3/29/16,1:02 PM,March,Tuesday,SERIAL MOTOR CH,LB104,BPD,No report
B16-11748,3/29/16,12:50 PM,March,Tuesday,JUVENILE,LB315,BPD,No report
B16-11747,3/29/16,12:48 PM,March,Tuesday,HARASSMENT NP,LB409,BPD,No report
B16-11746,3/29/16,12:41 PM,March,Tuesday,ALARM,LB310,BPD,No report
B16-11745,3/29/16,12:36 PM,March,Tuesday,EXTRA PATROL,LB103,BPD,No report
B16-11743,3/29/16,12:15 PM,March,Tuesday,EXTRA PATROL,LB102,BPD,No report
B16-11744,3/29/16,12:12 PM,March,Tuesday,ACCIDENT PD IP,LB434,BPD,Report
B16-11742,3/29/16,11:47 AM,March,Tuesday,THEFT NP,LB406,BPD,No report
B16-11741,3/29/16,11:45 AM,March,Tuesday,SERVICE IP,LB221,BPD,No report
B16-11738,3/29/16,11:33 AM,March,Tuesday,TRAFFIC STOP,LB523,BPD,No report
B16-11737,3/29/16,11:25 AM,March,Tuesday,FOLLOW UP,LB410,BPD,No report
B16-11736,3/29/16,11:19 AM,March,Tuesday,ATL,LB323,BPD,No report
B16-11735,3/29/16,11:10 AM,March,Tuesday,EXTRA PATROL,LB411,BPD,No report
B16-11740,3/29/16,11:04 AM,March,Tuesday,THEFT NP,LB517,BPD,Report
B16-11734,3/29/16,11:02 AM,March,Tuesday,ALARM,LB517,BPD,No report
B16-11733,3/29/16,10:53 AM,March,Tuesday,JAIL TRANSPORT,LB104,BPD,Report
B16-11732,3/29/16,10:29 AM,March,Tuesday,EXTRA PATROL,LB104,BPD,No report
B16-11731,3/29/16,10:08 AM,March,Tuesday,PROWLER IP,LB104,BPD,Report
B16-11729,3/29/16,9:37 AM,March,Tuesday,TRAFFIC STOP,LB404,BPD,No report
B16-11739,3/29/16,9:34 AM,March,Tuesday,FRAUD,LB512,BPD,No report
B16-11728,3/29/16,9:31 AM,March,Tuesday,TRAFFIC STOP,LB519,BPD,No report
B16-11730,3/29/16,9:29 AM,March,Tuesday,PROPERTY,LB102,BPD,No report
B16-11727,3/29/16,9:25 AM,March,Tuesday,SEX ASSAULT NP,LB306,BPD,Report
B16-11726,3/29/16,9:21 AM,March,Tuesday,BURGLARY NP,LB326,BPD,Report
B16-11724,3/29/16,9:04 AM,March,Tuesday,EXTRA PATROL,LB102,BPD,No report
B16-11725,3/29/16,8:54 AM,March,Tuesday,PROPERTY,LB104,BPD,No report
B16-11723,3/29/16,8:52 AM,March,Tuesday,THEFT NP,LB303,BPD,Report
B16-11722,3/29/16,8:49 AM,March,Tuesday,WELFARE CHK IP,LB523,BPD,No report
B16-11721,3/29/16,8:47 AM,March,Tuesday,ACCIDENT UNK,LB518,BPD,Report
B16-11720,3/29/16,8:42 AM,March,Tuesday,TRAFFIC STOP,LB308,BPD,No report
B16-11719,3/29/16,8:33 AM,March,Tuesday,SUSP ACT IP,LB103,BPD,No report
B16-11717,3/29/16,8:10 AM,March,Tuesday,TRAFFIC STOP,LB104,BPD,No report
B16-11718,3/29/16,8:05 AM,March,Tuesday,ACCIDENT LSA NP,LB310,BPD,Report
B16-11716,3/29/16,7:54 AM,March,Tuesday,VANDALISM NP,LB510,BPD,Report
B16-11715,3/29/16,7:21 AM,March,Tuesday,TRAFFIC STOP,LB409,BPD,No report
B16-11714,3/29/16,6:44 AM,March,Tuesday,ALARM,LB422,BPD,No report
B16-11713,3/29/16,6:40 AM,March,Tuesday,ALARM,LB422,BPD,No report
B16-11712,3/29/16,6:17 AM,March,Tuesday,TRAFFIC STOP,LB208,BPD,No report
B16-11711,3/29/16,5:54 AM,March,Tuesday,TRAFFIC STOP,LB303,BPD,No report
B16-11710,3/29/16,5:34 AM,March,Tuesday,ASSIGNED DETAIL,LB503,BPD,No report
B16-11709,3/29/16,4:21 AM,March,Tuesday,MOTORIST ASSIST,LB429,BPD,Report
B16-11708,3/29/16,3:55 AM,March,Tuesday,SUSP ACT IP,LB420,BPD,No report
B16-11707,3/29/16,3:49 AM,March,Tuesday,THEFT NP,LB311,BPD,Report
B16-11706,3/29/16,3:22 AM,March,Tuesday,DOMESTIC NP,LB406,BPD,No report
B16-11705,3/29/16,2:56 AM,March,Tuesday,NOISE,LB305,BPD,No report
B16-11704,3/29/16,1:11 AM,March,Tuesday,NOISE,LB101,BPD,No report
B16-11703,3/29/16,12:49 AM,March,Tuesday,SUSP ACT IP,LB102,BPD,Report
B16-11702,3/29/16,12:42 AM,March,Tuesday,ACCIDENT PD IP,LB425,BPD,Report
B16-11701,3/29/16,12:38 AM,March,Tuesday,ALARM,LB310,BPD,No report
B16-11700,3/29/16,12:08 AM,March,Tuesday,NOISE,LB402,BPD,No report
B16-11699,3/28/16,11:49 PM,March,Monday,NOISE,LB336,BPD,No report
B16-11698,3/28/16,11:39 PM,March,Monday,NOISE,LB314,BPD,No report
B16-11697,3/28/16,11:32 PM,March,Monday,NOISE,LB302,BPD,No report
B16-11696,3/28/16,11:20 PM,March,Monday,SERVICE IP,LB326,BPD,No report
B16-11694,3/28/16,11:17 PM,March,Monday,NOISE,LB423,BPD,No report
B16-11695,3/28/16,11:06 PM,March,Monday,NOISE,LB222,BPD,No report
B16-11692,3/28/16,11:05 PM,March,Monday,VANDALISM NP,LB521,BPD,No report
B16-11693,3/28/16,11:01 PM,March,Monday,NOISE,LB424,BPD,No report
B16-11689,3/28/16,10:49 PM,March,Monday,ACCIDENT LSA IP,LB524,BPD,Report
B16-11687,3/28/16,10:39 PM,March,Monday,DOMESTIC IP,LB423,BPD,Report
B16-11688,3/28/16,10:16 PM,March,Monday,NOISE,LB510,BPD,No report
B16-11690,3/28/16,10:13 PM,March,Monday,ACCIDENT PI,LB310,BPD,No report
B16-11691,3/28/16,10:10 PM,March,Monday,NOISE,LB423,BPD,No report
B16-11685,3/28/16,10:05 PM,March,Monday,ACCIDENT LSA IP,LB221,BPD,No report
B16-11684,3/28/16,9:52 PM,March,Monday,WEAPONS IP,LB517,BPD,Report
B16-11686,3/28/16,9:46 PM,March,Monday,EXTRA PATROL,LB523,BPD,No report
B16-11683,3/28/16,9:15 PM,March,Monday,THEFT NP,LB302,BPD,Report
B16-11682,3/28/16,9:11 PM,March,Monday,ALARM,LB413,BPD,No report
B16-11681,3/28/16,9:02 PM,March,Monday,ACCIDENT PD IP,LMS31,BPD,Report
B16-11679,3/28/16,8:50 PM,March,Monday,FOLLOW UP,LB302,BPD,No report
B16-11680,3/28/16,8:40 PM,March,Monday,ATL,LB427,BPD,No report
B16-11677,3/28/16,8:31 PM,March,Monday,MISSING PERSON,LB219,BPD,No report
B16-11678,3/28/16,8:27 PM,March,Monday,ACCIDENT PD NP,LB210,BPD,No report
B16-11676,3/28/16,8:19 PM,March,Monday,ACCIDENT LSA NP,LB212,BPD,Report
B16-11675,3/28/16,8:09 PM,March,Monday,WELFARE CHK IP,LB217,BPD,No report
B16-11671,3/28/16,8:01 PM,March,Monday,SERVICE IP,LB434,BPD,No report
B16-11674,3/28/16,8:00 PM,March,Monday,FRAUD,LB220,BPD,Report
B16-11672,3/28/16,7:48 PM,March,Monday,VANDALISM NP,LB302,BPD,Report
B16-11673,3/28/16,7:44 PM,March,Monday,FRAUD,LB428,BPD,No report
B16-11667,3/28/16,7:37 PM,March,Monday,FOLLOW UP,LB434,BPD,No report
B16-11668,3/28/16,7:36 PM,March,Monday,ACCIDENT PI,LB409,BPD,Report
B16-11670,3/28/16,7:33 PM,March,Monday,PARKING,LB101,BPD,No report
B16-11669,3/28/16,7:22 PM,March,Monday,WELFARE CHK IP,LB521,BPD,No report
B16-11666,3/28/16,6:56 PM,March,Monday,ATL,LB336,BPD,No report
B16-11665,3/28/16,6:50 PM,March,Monday,ALARM,LB412,BPD,No report
B16-11663,3/28/16,6:35 PM,March,Monday,FOLLOW UP,LB402,BPD,No report
B16-11664,3/28/16,6:35 PM,March,Monday,DISTURBANCE IP,LB518,BPD,No report
B16-11662,3/28/16,6:27 PM,March,Monday,CIVIL IP,LB209,BPD,No report
B16-11661,3/28/16,6:08 PM,March,Monday,ASSAULT IP,LB212,BPD,Report
B16-11660,3/28/16,6:02 PM,March,Monday,HARASSMENT IP,LB102,BPD,No report
B16-11658,3/28/16,5:58 PM,March,Monday,TRAFFIC HAZARD,LIU14,BPD,No report
B16-11659,3/28/16,5:52 PM,March,Monday,PARKING,LB103,BPD,No report
B16-11657,3/28/16,5:45 PM,March,Monday,FOLLOW UP,LB521,BPD,No report
B16-11655,3/28/16,5:20 PM,March,Monday,FOLLOW UP,LB410,BPD,No report
B16-11656,3/28/16,5:15 PM,March,Monday,ACCIDENT PD IP,LB213,BPD,No report
B16-11654,3/28/16,5:11 PM,March,Monday,RUNAWAY,LB406,BPD,No report
B16-11652,3/28/16,4:40 PM,March,Monday,WELFARE CHK IP,LB104,BPD,No report
B16-11651,3/28/16,4:37 PM,March,Monday,ANIMAL,LB316,BPD,No report
B16-11650,3/28/16,4:19 PM,March,Monday,NOISE,LB218,BPD,No report
B16-11649,3/28/16,4:17 PM,March,Monday,EXTRA PATROL,LB410,BPD,No report
B16-11647,3/28/16,3:57 PM,March,Monday,SUSP ACT IP,LB406,BPD,No report
B16-11645,3/28/16,3:43 PM,March,Monday,SERIAL MOTOR CH,LB518,BPD,No report
B16-11648,3/28/16,3:40 PM,March,Monday,SERVICE IP,LB326,BPD,Report
B16-11643,3/28/16,3:40 PM,March,Monday,WARRANT SERVICE,LB416,BPD,No report
B16-11644,3/28/16,3:40 PM,March,Monday,ASSAULT IP,LMS29,BPD,Report
B16-11642,3/28/16,3:27 PM,March,Monday,FOLLOW UP,LB305,BPD,No report
B16-11641,3/28/16,3:25 PM,March,Monday,WARRANT SERVICE,LB326,BPD,Report
B16-11640,3/28/16,3:20 PM,March,Monday,MOTORIST ASSIST,LB513,BPD,No report
B16-11646,3/28/16,3:19 PM,March,Monday,THEFT NP,LB521,BPD,Report
B16-11639,3/28/16,3:09 PM,March,Monday,DRUGS NP,LB406,BPD,No report
B16-11638,3/28/16,3:04 PM,March,Monday,DOMESTIC IP,LB212,BPD,No report
B16-11653,3/28/16,3:00 PM,March,Monday,SERIAL MOTOR CH,LB220,BPD,No report
B16-11637,3/28/16,2:41 PM,March,Monday,MOTORIST ASSIST,LB101,BPD,No report
B16-11635,3/28/16,2:36 PM,March,Monday,WELFARE CHK IP,LB101,BPD,No report
B16-11636,3/28/16,2:21 PM,March,Monday,ANIMAL,LB325,BPD,No report
B16-11634,3/28/16,2:19 PM,March,Monday,SERVICE IP,LB329,BPD,No report
B16-11633,3/28/16,2:13 PM,March,Monday,WELFARE CHK IP,LB523,BPD,No report
B16-11632,3/28/16,2:10 PM,March,Monday,WELFARE CHK IP,LB409,BPD,Report
B16-11631,3/28/16,2:03 PM,March,Monday,ASSIGNED DETAIL,LB410,BPD,No report
B16-11630,3/28/16,1:54 PM,March,Monday,ACCIDENT PD IP,LB402,BPD,Report
B16-11629,3/28/16,1:42 PM,March,Monday,ACCIDENT LSA NP,LB221,BPD,Report
B16-11627,3/28/16,1:42 PM,March,Monday,FOLLOW UP,LB326,BPD,No report
B16-11626,3/28/16,1:40 PM,March,Monday,FRAUD,LB406,BPD,Report
B16-11625,3/28/16,1:38 PM,March,Monday,FRAUD,LB305,BPD,Report
B16-11628,3/28/16,1:36 PM,March,Monday,DOMESTIC NP,LB417,BPD,Report
B16-11624,3/28/16,12:40 PM,March,Monday,THEFT NP,LB212,BPD,Report
B16-11622,3/28/16,12:37 PM,March,Monday,FOLLOW UP,LB302,BPD,No report
B16-11623,3/28/16,12:32 PM,March,Monday,THEFT NP,LB514,BPD,No report
B16-11621,3/28/16,12:26 PM,March,Monday,ACCIDENT PD IP,LB214,BPD,No report
B16-11620,3/28/16,12:18 PM,March,Monday,EXTRA PATROL,LB411,BPD,No report
B16-11618,3/28/16,12:00 PM,March,Monday,FRAUD,LB305,BPD,Report
B16-11619,3/28/16,11:58 AM,March,Monday,WELFARE CHK IP,LB314,BPD,No report
B16-11617,3/28/16,11:55 AM,March,Monday,DISTURBANCE IP,LB417,BPD,No report
B16-11615,3/28/16,11:41 AM,March,Monday,VANDALISM NP,LB101,BPD,No report
B16-11616,3/28/16,11:39 AM,March,Monday,FRAUD,LB403,BPD,Report
B16-11614,3/28/16,11:30 AM,March,Monday,FORGERY,LB433,BPD,Report
B16-11613,3/28/16,11:22 AM,March,Monday,EXTRA PATROL,LB326,BPD,No report
B16-11612,3/28/16,10:34 AM,March,Monday,TRAFFIC STOP,LB104,BPD,No report
B16-11611,3/28/16,10:28 AM,March,Monday,DEATH,LB418,BPD,Report
B16-11608,3/28/16,10:18 AM,March,Monday,FRAUD,LB305,BPD,Report
B16-11607,3/28/16,10:13 AM,March,Monday,ANIMAL,LB328,BPD,No report
B16-11609,3/28/16,10:00 AM,March,Monday,TRESPASS NP,LB314,BPD,Report
B16-11610,3/28/16,9:45 AM,March,Monday,VANDALISM NP,LB326,BPD,Report
B16-11605,3/28/16,9:34 AM,March,Monday,SEX ASSAULT NP,LB521,BPD,Report
B16-11604,3/28/16,9:32 AM,March,Monday,TRAFFIC STOP,LB104,BPD,No report
B16-11606,3/28/16,9:29 AM,March,Monday,THEFT NP,LB302,BPD,Report
B16-11603,3/28/16,9:15 AM,March,Monday,TRESPASS IP,LB410,BPD,Report
B16-11602,3/28/16,8:50 AM,March,Monday,SERVICE IP,LB329,BPD,No report
B16-11601,3/28/16,8:28 AM,March,Monday,THEFT NP,LB304,BPD,Report
B16-11599,3/28/16,8:17 AM,March,Monday,TRAFFIC STOP,LIU14,BPD,No report
B16-11600,3/28/16,8:14 AM,March,Monday,DRUGS IP,LB316,BPD,Report
B16-11598,3/28/16,8:08 AM,March,Monday,DISTURBANCE IP,LB104,BPD,No report
B16-11597,3/28/16,7:51 AM,March,Monday,ACCIDENT PD IP,LB208,BPD,No report
B16-11596,3/28/16,7:37 AM,March,Monday,DRUGS IP,LB316,BPD,No report
B16-11595,3/28/16,7:27 AM,March,Monday,PROPERTY,LB102,BPD,Report
B16-11594,3/28/16,7:12 AM,March,Monday,FIGHT IP,LB104,BPD,No report
B16-11593,3/28/16,7:00 AM,March,Monday,TRAFFIC STOP,LB104,BPD,No report
B16-11592,3/28/16,6:41 AM,March,Monday,TRAFFIC STOP,LB410,BPD,No report
B16-11591,3/28/16,6:04 AM,March,Monday,ASSIGNED DETAIL,LB410,BPD,No report
B16-11590,3/28/16,5:41 AM,March,Monday,ASSIGNED DETAIL,LB503,BPD,No report
B16-11589,3/28/16,4:32 AM,March,Monday,ROBBERY IP,LB307,BPD,Report
B16-11588,3/28/16,4:03 AM,March,Monday,SUSP ACT IP,LB314,BPD,No report
B16-11587,3/28/16,4:00 AM,March,Monday,ALARM,LB422,BPD,No report
B16-11586,3/28/16,2:39 AM,March,Monday,TRAFFIC STOP,LB406,BPD,No report
B16-11585,3/28/16,2:23 AM,March,Monday,TRAFFIC STOP,LB404,BPD,No report
B16-11584,3/28/16,2:16 AM,March,Monday,TRAFFIC STOP,LB521,BPD,No report
B16-11583,3/28/16,2:04 AM,March,Monday,WELFARE CHK IP,LB416,BPD,No report
B16-11582,3/28/16,12:47 AM,March,Monday,ATL,LB427,BPD,Report
B16-11581,3/28/16,12:45 AM,March,Monday,TRAFFIC STOP,LB104,BPD,No report
B16-11580,3/28/16,12:40 AM,March,Monday,SUSP ACT IP,LB417,BPD,No report
B16-11579,3/28/16,12:25 AM,March,Monday,TRAFFIC STOP,LB519,BPD,No report
B16-11577,3/27/16,11:57 PM,March,Sunday,ALARM,LB522,BPD,No report
B16-11578,3/27/16,11:56 PM,March,Sunday,NOISE,LB423,BPD,No report
B16-11576,3/27/16,11:56 PM,March,Sunday,TRAFFIC STOP,LB102,BPD,No report
B16-11574,3/27/16,11:49 PM,March,Sunday,TRAFFIC STOP,LB406,BPD,No report
B16-11575,3/27/16,11:48 PM,March,Sunday,ALARM,LB522,BPD,No report
B16-11573,3/27/16,11:47 PM,March,Sunday,TRAFFIC STOP,LB522,BPD,No report
B16-11572,3/27/16,11:37 PM,March,Sunday,DUI,LB102,BPD,No report
B16-11571,3/27/16,11:33 PM,March,Sunday,WELFARE CHK IP,LB510,BPD,No report
B16-11569,3/27/16,11:29 PM,March,Sunday,TRAFFIC STOP,LB310,BPD,No report
B16-11568,3/27/16,11:28 PM,March,Sunday,TRAFFIC STOP,LB406,BPD,No report
B16-11570,3/27/16,11:28 PM,March,Sunday,ALARM,LB305,BPD,No report
B16-11566,3/27/16,11:23 PM,March,Sunday,TRAFFIC STOP,LMS30,BPD,No report
B16-11567,3/27/16,11:20 PM,March,Sunday,SERVICE IP,LB523,BPD,No report
B16-11565,3/27/16,11:15 PM,March,Sunday,TRAFFIC STOP,LB406,BPD,No report
B16-11564,3/27/16,11:10 PM,March,Sunday,TRAFFIC STOP,LB103,BPD,No report
B16-11563,3/27/16,11:08 PM,March,Sunday,TRAFFIC STOP,LB220,BPD,No report
B16-11562,3/27/16,11:06 PM,March,Sunday,TRAFFIC STOP,LB215,BPD,No report
B16-11560,3/27/16,10:42 PM,March,Sunday,TRAFFIC STOP,LB404,BPD,No report
B16-11559,3/27/16,10:40 PM,March,Sunday,TRAFFIC STOP,LB520,BPD,No report
B16-11561,3/27/16,10:38 PM,March,Sunday,SUSP ACT IP,LB102,BPD,No report
B16-11558,3/27/16,10:22 PM,March,Sunday,DOMESTIC IP,LB423,BPD,No report
B16-11556,3/27/16,10:21 PM,March,Sunday,DOMESTIC IP,LB329,BPD,No report
B16-11555,3/27/16,10:21 PM,March,Sunday,DRUNK,LB103,BPD,No report
B16-11557,3/27/16,10:20 PM,March,Sunday,SERVICE IP,LB517,BPD,No report
B16-11553,3/27/16,10:05 PM,March,Sunday,TRAFFIC STOP,LB524,BPD,No report
B16-11554,3/27/16,9:57 PM,March,Sunday,WELFARE CHK IP,LB219,BPD,No report
B16-11552,3/27/16,9:23 PM,March,Sunday,RUNAWAY,LB424,BPD,Report
B16-11551,3/27/16,9:22 PM,March,Sunday,FIGHT IP,LMS29,BPD,No report
B16-11550,3/27/16,8:47 PM,March,Sunday,FOLLOW UP,LB301,BPD,No report
B16-11548,3/27/16,8:46 PM,March,Sunday,DOMESTIC IP,LB326,BPD,No report
B16-11547,3/27/16,8:25 PM,March,Sunday,WEATHER ALERT,LB104,BPD,No report
B16-11543,3/27/16,8:20 PM,March,Sunday,ALARM,LB310,BPD,No report
B16-11542,3/27/16,8:19 PM,March,Sunday,ALARM,LB409,BPD,No report
B16-11540,3/27/16,8:18 PM,March,Sunday,ALARM,LB408,BPD,No report
B16-11544,3/27/16,8:17 PM,March,Sunday,ALARM,LB305,BPD,No report
B16-11541,3/27/16,8:15 PM,March,Sunday,ALARM,LB103,BPD,No report
B16-11545,3/27/16,8:12 PM,March,Sunday,ALARM,LB406,BPD,No report
B16-11549,3/27/16,8:08 PM,March,Sunday,INFORMATION,LB523,BPD,No report
B16-11539,3/27/16,8:06 PM,March,Sunday,DISTURBANCE IP,LB329,BPD,No report
B16-11538,3/27/16,7:50 PM,March,Sunday,TRESPASS IP,LB517,BPD,No report
B16-11535,3/27/16,7:22 PM,March,Sunday,WELFARE CHK IP,LB408,BPD,No report
B16-11537,3/27/16,7:12 PM,March,Sunday,VANDALISM NP,LB212,BPD,No report
B16-11546,3/27/16,7:01 PM,March,Sunday,THEFT NP,LB524,BPD,Report
B16-11534,3/27/16,6:58 PM,March,Sunday,SUSP ACT IP,LB521,BPD,No report
B16-11536,3/27/16,6:31 PM,March,Sunday,PARKING,LB424,BPD,No report
B16-11533,3/27/16,6:06 PM,March,Sunday,WEAPONS IP,LB326,BPD,Report
B16-11532,3/27/16,6:00 PM,March,Sunday,ACCIDENT LSA IP,LB326,BPD,Report
B16-11531,3/27/16,5:55 PM,March,Sunday,MOTORIST ASSIST,,BPD,No report
B16-11530,3/27/16,5:42 PM,March,Sunday,ATL,LB509,BPD,No report
B16-11529,3/27/16,5:33 PM,March,Sunday,ALARM,LB524,BPD,No report
B16-11528,3/27/16,5:13 PM,March,Sunday,RECOVERED VT,LMN12,BPD,No report
B16-11527,3/27/16,4:53 PM,March,Sunday,BURGLARY NP,LB336,BPD,Report
B16-11526,3/27/16,4:24 PM,March,Sunday,RUNAWAY,LB104,BPD,No report
B16-11523,3/27/16,4:17 PM,March,Sunday,TRAFFIC STOP,LIU14,BPD,No report
B16-11524,3/27/16,4:15 PM,March,Sunday,DISTURBANCE IP,LB326,BPD,Report
B16-11525,3/27/16,4:15 PM,March,Sunday,VANDALISM NP,LB513,BPD,No report
B16-11522,3/27/16,4:14 PM,March,Sunday,TRAFFIC STOP,LB408,BPD,No report
B16-11521,3/27/16,3:58 PM,March,Sunday,BURGLARY NP,LB301,BPD,Report
B16-11519,3/27/16,3:43 PM,March,Sunday,FOLLOW UP,LB302,BPD,No report
B16-11520,3/27/16,3:40 PM,March,Sunday,ATL,LB410,BPD,No report
B16-11518,3/27/16,3:18 PM,March,Sunday,RECOVERED VT,LB104,BPD,No report
B16-11517,3/27/16,3:18 PM,March,Sunday,WELFARE CHK IP,LB104,BPD,No report
B16-11516,3/27/16,3:18 PM,March,Sunday,DISTURBANCE IP,LB104,BPD,No report
B16-11514,3/27/16,2:22 PM,March,Sunday,ACCIDENT PD IP,LB102,BPD,No report
B16-11515,3/27/16,2:21 PM,March,Sunday,ACCIDENT PD NP,LB308,BPD,No report
B16-11513,3/27/16,2:17 PM,March,Sunday,TRAFFIC STOP,LB404,BPD,No report
B16-11512,3/27/16,2:11 PM,March,Sunday,ALARM,LB305,BPD,No report
B16-11511,3/27/16,2:09 PM,March,Sunday,CIVIL NP,LB326,BPD,No report
B16-11510,3/27/16,2:02 PM,March,Sunday,CIVIL NP,LB216,BPD,No report
B16-11509,3/27/16,2:00 PM,March,Sunday,THEFT NP,LB304,BPD,Report
B16-11508,3/27/16,1:46 PM,March,Sunday,TRESPASS NP,LB403,BPD,Report
B16-11507,3/27/16,1:34 PM,March,Sunday,DISTURBANCE IP,LB104,BPD,No report
B16-11506,3/27/16,1:06 PM,March,Sunday,WEAPONS IP,LE04,BPD,No report
B16-11504,3/27/16,12:43 PM,March,Sunday,SERVICE IP,LB420,BPD,No report
B16-11505,3/27/16,12:43 PM,March,Sunday,DRUNK,LB410,BPD,No report
B16-11503,3/27/16,12:35 PM,March,Sunday,SERVICE IP,LB104,BPD,No report
B16-11502,3/27/16,12:19 PM,March,Sunday,ALARM,LB324,BPD,No report
B16-11501,3/27/16,11:51 AM,March,Sunday,ALARM,LB313,BPD,No report
B16-11500,3/27/16,11:33 AM,March,Sunday,WELFARE CHK IP,LB410,BPD,No report
B16-11499,3/27/16,11:32 AM,March,Sunday,FOLLOW UP,LB221,BPD,No report
B16-11498,3/27/16,11:18 AM,March,Sunday,WELFARE CHK IP,LB104,BPD,No report
B16-11497,3/27/16,10:55 AM,March,Sunday,SERVICE IP,LB102,BPD,No report
B16-11496,3/27/16,10:51 AM,March,Sunday,DOMESTIC IP,LB316,BPD,Report
B16-11495,3/27/16,10:39 AM,March,Sunday,ACCIDENT PD IP,LB221,BPD,Report
B16-11494,3/27/16,10:17 AM,March,Sunday,CIVIL IP,LB406,BPD,No report
B16-11493,3/27/16,9:41 AM,March,Sunday,THEFT IP,LB104,BPD,No report
B16-11492,3/27/16,9:12 AM,March,Sunday,TRAFFIC STOP,LIU13,BPD,No report
B16-11491,3/27/16,8:55 AM,March,Sunday,BURGLARY IP,LB415,BPD,Report
B16-11490,3/27/16,8:21 AM,March,Sunday,SERVICE IP,LB102,BPD,No report
B16-11489,3/27/16,6:48 AM,March,Sunday,ACCIDENT LSA NP,LB510,BPD,Report
B16-11488,3/27/16,6:35 AM,March,Sunday,TRAFFIC STOP,LB409,BPD,No report
B16-11487,3/27/16,6:33 AM,March,Sunday,TRAFFIC HAZARD,LB518,BPD,No report
B16-11486,3/27/16,5:37 AM,March,Sunday,DISTURBANCE IP,LB101,BPD,No report
B16-11485,3/27/16,5:29 AM,March,Sunday,WELFARE CHK IP,LB310,BPD,No report
B16-11484,3/27/16,5:18 AM,March,Sunday,TRAFFIC HAZARD,LB512,BPD,No report
B16-11483,3/27/16,4:25 AM,March,Sunday,DRUNK,LB512,BPD,No report
B16-11481,3/27/16,4:00 AM,March,Sunday,SERVICE IP,LB219,BPD,No report
B16-11480,3/27/16,3:15 AM,March,Sunday,ASSAULT IP,LB326,BPD,Report
